Código IBGE;Município;Região Administrativa;Código RA;Código DRS;DRS;Ano;Área (Em km2);Densidade Demográfica (Habitantes/km2);População;População Urbana;Grau de Urbanização (Em %);Domicílios Particulares Permanentes;Hab./Domicílio
3556206;Valinhos;RA de Campinas;4;3;Campinas;2020;148,54;839,79;124.742;119.288;95,63;43189;2,89
3556305;Valparaíso;RA de Araçatuba;1;7;Araçatuba;2020;857,66;27,97;23.988;23.353;97,35;7203;3,33
3556354;Vargem;RA de Campinas;4;3;Campinas;2020;142,6;70,13;10.000;6.290;62,9;3481;2,87
3556404;Vargem Grande do Sul;RA de Campinas;4;14;São João da Boa Vista;2020;267,18;155,33;41.501;39.933;96,22;14321;2,90
3556453;Vargem Grande Paulista;RM de São Paulo;10;10;Grande São Paulo;2020;42,49;1241,75;52.762;52.762;100;16752;3,15
3556503;Várzea Paulista;RA de Campinas;4;3;Campinas;2020;35,12;3432,09;120.535;120.535;100;40534;2,97
3556602;Vera Cruz;RA de Marília;8;5;Marília;2020;247,72;42,48;10.524;9.460;89,89;3527;2,98
3556701;Vinhedo;RA de Campinas;4;3;Campinas;2020;81,6;950,01;77.521;75.085;96,86;25889;2,99
3556800;Viradouro;RA de Barretos;2;16;Barretos;2020;217,73;84,26;18.347;17.810;97,07;6402;2,87
3556909;Vista Alegre do Alto;RA de Barretos;2;16;Barretos;2020;95,43;83,98;8.014;7.594;94,76;2767;2,90
3556958;Vitória Brasil;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;49,83;35,32;1.760;1.562;88,75;626;2,81
3557006;Votorantim;RA de Sorocaba;13;6;Sorocaba;2020;183,52;652,92;119.824;115.254;96,19;39510;3,03
3557105;Votuporanga;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;420,7;218,11;91.760;89.189;97,2;34514;2,66
3557154;Zacarias;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;319,06;8,02;2.560;2.183;85,27;952;2,69
3557204;Chavantes;RA de Marília;8;5;Marília;2020;188,73;64,76;12.223;11.525;94,29;4049;3,02
3557303;Estiva Gerbi;RA de Campinas;4;14;São João da Boa Vista;2020;74,14;149,43;11.079;8.837;79,76;3629;3,05
