Código IBGE;Município;Região Administrativa;Código RA;Código DRS;DRS;   Ano   ;Sexo;Idade;População
3535705;Paraíso;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;170
3535804;Paranapanema;RA de Itapeva;7;12;Bauru;2020;Homens;60 a 64;467
3535903;Paranapuã;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;110
3536000;Parapuã;RA de Marília;8;5;Marília;2020;Homens;60 a 64;348
3536109;Pardinho;RA de Sorocaba;13;12;Bauru;2020;Homens;60 a 64;127
3536208;Pariquera-Açu;RA de Registro;16;9;Registro;2020;Homens;60 a 64;418
3536257;Parisi;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;73
3536307;Patrocínio Paulista;RA de Franca;6;4;Franca;2020;Homens;60 a 64;354
3536406;Paulicéia;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;60 a 64;134
3536505;Paulínia;RA de Campinas;4;3;Campinas;2020;Homens;60 a 64;2.160
3536570;Paulistânia;RA de Bauru;3;12;Bauru;2020;Homens;60 a 64;47
3536604;Paulo de Faria;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;228
3536703;Pederneiras;RA de Bauru;3;12;Bauru;2020;Homens;60 a 64;1.062
3536802;Pedra Bela;RA de Campinas;4;3;Campinas;2020;Homens;60 a 64;159
3536901;Pedranópolis;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;83
3537008;Pedregulho;RA de Franca;6;4;Franca;2020;Homens;60 a 64;381
3537107;Pedreira;RA de Campinas;4;3;Campinas;2020;Homens;60 a 64;1.145
3537156;Pedrinhas Paulista;RA de Marília;8;5;Marília;2020;Homens;60 a 64;80
3537206;Pedro de Toledo;RA de Registro;16;9;Registro;2020;Homens;60 a 64;270
3537305;Penápolis;RA de Araçatuba;1;7;Araçatuba;2020;Homens;60 a 64;1.602
3537404;Pereira Barreto;RA de Araçatuba;1;7;Araçatuba;2020;Homens;60 a 64;572
3537503;Pereiras;RA de Sorocaba;13;12;Bauru;2020;Homens;60 a 64;198
3537602;Peruíbe;RA de Santos;12;13;Baixada Santista;2020;Homens;60 a 64;1.370
3537701;Piacatu;RA de Araçatuba;1;7;Araçatuba;2020;Homens;60 a 64;149
3537800;Piedade;RA de Sorocaba;13;6;Sorocaba;2020;Homens;60 a 64;1.406
3537909;Pilar do Sul;RA de Sorocaba;13;6;Sorocaba;2020;Homens;60 a 64;658
3538006;Pindamonhangaba;RA de São José dos Campos;15;17;Taubaté;2020;Homens;60 a 64;3.804
3538105;Pindorama;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;380
3538204;Pinhalzinho;RA de Campinas;4;3;Campinas;2020;Homens;60 a 64;380
3538303;Piquerobi;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;60 a 64;91
3538501;Piquete;RA de São José dos Campos;15;17;Taubaté;2020;Homens;60 a 64;398
3538600;Piracaia;RA de Campinas;4;3;Campinas;2020;Homens;60 a 64;639
3538709;Piracicaba;RA de Campinas;4;11;Piracicaba;2020;Homens;60 a 64;9.533
3538808;Piraju;RA de Itapeva;7;12;Bauru;2020;Homens;60 a 64;777
3538907;Pirajuí;RA de Bauru;3;12;Bauru;2020;Homens;60 a 64;557
3539004;Pirangi;RA de Barretos;2;15;São José do Rio Preto;2020;Homens;60 a 64;301
3539103;Pirapora do Bom Jesus;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;60 a 64;313
3539202;Pirapozinho;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;60 a 64;594
3539301;Pirassununga;RA de Campinas;4;11;Piracicaba;2020;Homens;60 a 64;1.916
3539400;Piratininga;RA de Bauru;3;12;Bauru;2020;Homens;60 a 64;367
3539509;Pitangueiras;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;Homens;60 a 64;764
3539608;Planalto;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;142
3539707;Platina;RA de Marília;8;5;Marília;2020;Homens;60 a 64;103
3539806;Poá;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;60 a 64;2.517
3539905;Poloni;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;144
3540002;Pompéia;RA de Marília;8;5;Marília;2020;Homens;60 a 64;552
3540101;Pongaí;RA de Bauru;3;12;Bauru;2020;Homens;60 a 64;122
3540200;Pontal;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;Homens;60 a 64;869
3540259;Pontalinda;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;99
3540309;Pontes Gestal;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;69
3540408;Populina;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;134
3540507;Porangaba;RA de Sorocaba;13;12;Bauru;2020;Homens;60 a 64;250
3540606;Porto Feliz;RA de Sorocaba;13;6;Sorocaba;2020;Homens;60 a 64;1.325
3540705;Porto Ferreira;RA Central;5;8;Araraquara;2020;Homens;60 a 64;1.403
3540754;Potim;RA de São José dos Campos;15;17;Taubaté;2020;Homens;60 a 64;336
3540804;Potirendaba;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;450
3540853;Pracinha;RA de Presidente Prudente;9;5;Marília;2020;Homens;60 a 64;35
3540903;Pradópolis;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;Homens;60 a 64;463
3541000;Praia Grande;RA de Santos;12;13;Baixada Santista;2020;Homens;60 a 64;6.270
3541059;Pratânia;RA de Sorocaba;13;12;Bauru;2020;Homens;60 a 64;108
3541109;Presidente Alves;RA de Bauru;3;12;Bauru;2020;Homens;60 a 64;106
3541208;Presidente Bernardes;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;60 a 64;389
3541307;Presidente Epitácio;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;60 a 64;1.012
3541406;Presidente Prudente;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;60 a 64;5.365
3541505;Presidente Venceslau;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;60 a 64;945
3541604;Promissão;RA de Bauru;3;12;Bauru;2020;Homens;60 a 64;913
3541653;Quadra;RA de Sorocaba;13;6;Sorocaba;2020;Homens;60 a 64;87
3541703;Quatá;RA de Marília;8;2;Presidente Prudente;2020;Homens;60 a 64;312
3541802;Queiroz;RA de Marília;8;5;Marília;2020;Homens;60 a 64;56
3541901;Queluz;RA de São José dos Campos;15;17;Taubaté;2020;Homens;60 a 64;259
3542008;Quintana;RA de Marília;8;5;Marília;2020;Homens;60 a 64;159
3542107;Rafard;RA de Campinas;4;11;Piracicaba;2020;Homens;60 a 64;219
3542206;Rancharia;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;60 a 64;752
3542305;Redenção da Serra;RA de São José dos Campos;15;17;Taubaté;2020;Homens;60 a 64;126
3542404;Regente Feijó;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;60 a 64;499
3542503;Reginópolis;RA de Bauru;3;12;Bauru;2020;Homens;60 a 64;143
3542602;Registro;RA de Registro;16;9;Registro;2020;Homens;60 a 64;1.218
3542701;Restinga;RA de Franca;6;4;Franca;2020;Homens;60 a 64;164
3542800;Ribeira;RA de Itapeva;7;6;Sorocaba;2020;Homens;60 a 64;91
3542909;Ribeirão Bonito;RA Central;5;8;Araraquara;2020;Homens;60 a 64;290
3543006;Ribeirão Branco;RA de Itapeva;7;6;Sorocaba;2020;Homens;60 a 64;355
3543105;Ribeirão Corrente;RA de Franca;6;4;Franca;2020;Homens;60 a 64;97
3543204;Ribeirão do Sul;RA de Marília;8;5;Marília;2020;Homens;60 a 64;130
3543238;Ribeirão dos Índios;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;60 a 64;66
3543253;Ribeirão Grande;RA de Itapeva;7;6;Sorocaba;2020;Homens;60 a 64;155
3543303;Ribeirão Pires;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;60 a 64;2.958
3543402;Ribeirão Preto;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;Homens;60 a 64;15.578
3543501;Riversul;RA de Itapeva;7;6;Sorocaba;2020;Homens;60 a 64;154
3543600;Rifaina;RA de Franca;6;4;Franca;2020;Homens;60 a 64;96
3543709;Rincão;RA Central;5;8;Araraquara;2020;Homens;60 a 64;243
3543808;Rinópolis;RA de Marília;8;5;Marília;2020;Homens;60 a 64;290
3543907;Rio Claro;RA de Campinas;4;11;Piracicaba;2020;Homens;60 a 64;4.928
3544004;Rio das Pedras;RA de Campinas;4;11;Piracicaba;2020;Homens;60 a 64;704
3544103;Rio Grande da Serra;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;60 a 64;974
3544202;Riolândia;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;216
3544251;Rosana;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;60 a 64;492
3544301;Roseira;RA de São José dos Campos;15;17;Taubaté;2020;Homens;60 a 64;245
3544400;Rubiácea;RA de Araçatuba;1;7;Araçatuba;2020;Homens;60 a 64;74
3544509;Rubinéia;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;96
3544608;Sabino;RA de Bauru;3;12;Bauru;2020;Homens;60 a 64;155
3544707;Sagres;RA de Presidente Prudente;9;5;Marília;2020;Homens;60 a 64;81
3544806;Sales;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;162
3544905;Sales Oliveira;RA de Franca;6;4;Franca;2020;Homens;60 a 64;270
3545001;Salesópolis;RM de São Paulo;10;10;Grande São Paulo;2020;Homens;60 a 64;395
3545100;Salmourão;RA de Presidente Prudente;9;5;Marília;2020;Homens;60 a 64;119
3545159;Saltinho;RA de Campinas;4;11;Piracicaba;2020;Homens;60 a 64;217
3545209;Salto;RA de Sorocaba;13;6;Sorocaba;2020;Homens;60 a 64;2.792
3545308;Salto de Pirapora;RA de Sorocaba;13;6;Sorocaba;2020;Homens;60 a 64;1.029
3545407;Salto Grande;RA de Marília;8;5;Marília;2020;Homens;60 a 64;209
3545506;Sandovalina;RA de Presidente Prudente;9;2;Presidente Prudente;2020;Homens;60 a 64;97
3545605;Santa Adélia;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;357
3545704;Santa Albertina;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;177
3545803;Santa Bárbara d'Oeste;RA de Campinas;4;3;Campinas;2020;Homens;60 a 64;5.219
3546009;Santa Branca;RA de São José dos Campos;15;17;Taubaté;2020;Homens;60 a 64;354
3546108;Santa Clara d'Oeste;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;54
3546207;Santa Cruz da Conceição;RA de Campinas;4;11;Piracicaba;2020;Homens;60 a 64;120
3546256;Santa Cruz da Esperança;RA de Ribeirão Preto;11;1;Ribeirão Preto;2020;Homens;60 a 64;47
3546306;Santa Cruz das Palmeiras;RA de Campinas;4;14;São João da Boa Vista;2020;Homens;60 a 64;725
3546405;Santa Cruz do Rio Pardo;RA de Marília;8;5;Marília;2020;Homens;60 a 64;1.158
3546504;Santa Ernestina;RA Central;5;8;Araraquara;2020;Homens;60 a 64;116
3546603;Santa Fé do Sul;RA de São José do Rio Preto;14;15;São José do Rio Preto;2020;Homens;60 a 64;800
