Código IBGE;Município;Região Administrativa;Código RA;Código DRS;DRS;População Total 2020;Classes de tamanho;Sequência das Classes
3524501;Jaci;RA de São José do Rio Preto;14;15;São José do Rio Preto; 6.969 ;Até 10.000;1
3524600;Jacupiranga;RA de Registro;16;9;Registro; 17.222 ;De 10.001 a 50.000;2
3524709;Jaguariúna;RA de Campinas;4;3;Campinas; 54.848 ;De 50.001 a 100.000;3
3524808;Jales;RA de São José do Rio Preto;14;15;São José do Rio Preto; 47.254 ;De 10.001 a 50.000;2
3524907;Jambeiro;RA de São José dos Campos;15;17;Taubaté; 6.214 ;Até 10.000;1
3525003;Jandira;RM de São Paulo;10;10;Grande São Paulo; 123.603 ;De 100.001 a 500.000;4
3525102;Jardinópolis;RA de Ribeirão Preto;11;1;Ribeirão Preto; 42.893 ;De 10.001 a 50.000;2
3525201;Jarinu;RA de Campinas;4;3;Campinas; 29.820 ;De 10.001 a 50.000;2
3525300;Jaú;RA de Bauru;3;12;Bauru; 147.505 ;De 100.001 a 500.000;4
3525409;Jeriquara;RA de Franca;6;4;Franca; 3.141 ;Até 10.000;1
3525508;Joanópolis;RA de Campinas;4;3;Campinas; 12.666 ;De 10.001 a 50.000;2
3525607;João Ramalho;RA de Marília;8;2;Presidente Prudente; 4.384 ;Até 10.000;1
3525706;José Bonifácio;RA de São José do Rio Preto;14;15;São José do Rio Preto; 35.981 ;De 10.001 a 50.000;2
3525805;Júlio Mesquita;RA de Marília;8;5;Marília; 4.640 ;Até 10.000;1
3525854;Jumirim;RA de Sorocaba;13;6;Sorocaba; 3.306 ;Até 10.000;1
3525904;Jundiaí;RA de Campinas;4;3;Campinas; 407.016 ;De 100.001 a 500.000;4
3526001;Junqueirópolis;RA de Presidente Prudente;9;2;Presidente Prudente; 20.065 ;De 10.001 a 50.000;2
3526100;Juquiá;RA de Registro;16;9;Registro; 18.828 ;De 10.001 a 50.000;2
3526209;Juquitiba;RM de São Paulo;10;10;Grande São Paulo; 30.401 ;De 10.001 a 50.000;2
3526308;Lagoinha;RA de São José dos Campos;15;17;Taubaté; 4.819 ;Até 10.000;1
3526407;Laranjal Paulista;RA de Sorocaba;13;12;Bauru; 27.834 ;De 10.001 a 50.000;2
3526506;Lavínia;RA de Araçatuba;1;7;Araçatuba; 8.500 ;Até 10.000;1
3526605;Lavrinhas;RA de São José dos Campos;15;17;Taubaté; 7.167 ;Até 10.000;1
3526704;Leme;RA de Campinas;4;11;Piracicaba; 100.975 ;De 100.001 a 500.000;4
3526803;Lençóis Paulista;RA de Bauru;3;12;Bauru; 66.343 ;De 50.001 a 100.000;3
3526902;Limeira;RA de Campinas;4;11;Piracicaba; 296.300 ;De 100.001 a 500.000;4
3527009;Lindóia;RA de Campinas;4;3;Campinas; 7.722 ;Até 10.000;1
3527108;Lins;RA de Bauru;3;12;Bauru; 75.087 ;De 50.001 a 100.000;3
3527207;Lorena;RA de São José dos Campos;15;17;Taubaté; 86.639 ;De 50.001 a 100.000;3
3527256;Lourdes;RA de Araçatuba;1;7;Araçatuba; 2.182 ;Até 10.000;1
3527306;Louveira;RA de Campinas;4;3;Campinas; 48.268 ;De 10.001 a 50.000;2
3527405;Lucélia;RA de Presidente Prudente;9;5;Marília; 21.019 ;De 10.001 a 50.000;2
3527504;Lucianópolis;RA de Bauru;3;12;Bauru; 2.261 ;Até 10.000;1
3527603;Luís Antônio;RA de Ribeirão Preto;11;1;Ribeirão Preto; 14.166 ;De 10.001 a 50.000;2
3527702;Luiziânia;RA de Araçatuba;1;7;Araçatuba; 5.754 ;Até 10.000;1
3527801;Lupércio;RA de Marília;8;5;Marília; 4.421 ;Até 10.000;1
3527900;Lutécia;RA de Marília;8;5;Marília; 2.621 ;Até 10.000;1
3528007;Macatuba;RA de Bauru;3;12;Bauru; 16.932 ;De 10.001 a 50.000;2
3528106;Macaubal;RA de São José do Rio Preto;14;15;São José do Rio Preto; 7.749 ;Até 10.000;1
3528205;Macedônia;RA de São José do Rio Preto;14;15;São José do Rio Preto; 3.574 ;Até 10.000;1
3528304;Magda;RA de São José do Rio Preto;14;15;São José do Rio Preto; 3.088 ;Até 10.000;1
3528403;Mairinque;RA de Sorocaba;13;6;Sorocaba; 46.323 ;De 10.001 a 50.000;2
3528502;Mairiporã;RM de São Paulo;10;10;Grande São Paulo; 98.622 ;De 50.001 a 100.000;3
3528601;Manduri;RA de Sorocaba;13;12;Bauru; 9.525 ;Até 10.000;1
3528700;Marabá Paulista;RA de Presidente Prudente;9;2;Presidente Prudente; 4.931 ;Até 10.000;1
3528809;Maracaí;RA de Marília;8;5;Marília; 13.521 ;De 10.001 a 50.000;2
3528858;Marapoama;RA de São José do Rio Preto;14;15;São José do Rio Preto; 2.906 ;Até 10.000;1
3528908;Mariápolis;RA de Presidente Prudente;9;5;Marília; 3.975 ;Até 10.000;1
3529005;Marília;RA de Marília;8;5;Marília; 231.554 ;De 100.001 a 500.000;4
3529104;Marinópolis;RA de São José do Rio Preto;14;15;São José do Rio Preto; 2.097 ;Até 10.000;1
3529203;Martinópolis;RA de Presidente Prudente;9;2;Presidente Prudente; 25.668 ;De 10.001 a 50.000;2
3529302;Matão;RA Central;5;8;Araraquara; 80.020 ;De 50.001 a 100.000;3
3529401;Mauá;RM de São Paulo;10;10;Grande São Paulo; 460.132 ;De 100.001 a 500.000;4
3529500;Mendonça;RA de São José do Rio Preto;14;15;São José do Rio Preto; 5.043 ;Até 10.000;1
3529609;Meridiano;RA de São José do Rio Preto;14;15;São José do Rio Preto; 3.739 ;Até 10.000;1
3529658;Mesópolis;RA de São José do Rio Preto;14;15;São José do Rio Preto; 1.893 ;Até 10.000;1
3529708;Miguelópolis;RA de Franca;6;4;Franca; 21.424 ;De 10.001 a 50.000;2
3529807;Mineiros do Tietê;RA de Bauru;3;12;Bauru; 12.597 ;De 10.001 a 50.000;2
3529906;Miracatu;RA de Registro;16;9;Registro; 19.934 ;De 10.001 a 50.000;2
3530003;Mira Estrela;RA de São José do Rio Preto;14;15;São José do Rio Preto; 2.939 ;Até 10.000;1
3530102;Mirandópolis;RA de Araçatuba;1;7;Araçatuba; 28.646 ;De 10.001 a 50.000;2
3530201;Mirante do Paranapanema;RA de Presidente Prudente;9;2;Presidente Prudente; 17.769 ;De 10.001 a 50.000;2
3530300;Mirassol;RA de São José do Rio Preto;14;15;São José do Rio Preto; 57.824 ;De 50.001 a 100.000;3
3530409;Mirassolândia;RA de São José do Rio Preto;14;15;São José do Rio Preto; 4.702 ;Até 10.000;1
3530508;Mococa;RA de Campinas;4;14;São João da Boa Vista; 66.753 ;De 50.001 a 100.000;3
3530607;Mogi das Cruzes;RM de São Paulo;10;10;Grande São Paulo; 432.905 ;De 100.001 a 500.000;4
3530706;Mogi Guaçu;RA de Campinas;4;14;São João da Boa Vista; 148.325 ;De 100.001 a 500.000;4
3530805;Mogi Mirim;RA de Campinas;4;14;São João da Boa Vista; 90.439 ;De 50.001 a 100.000;3
3530904;Mombuca;RA de Campinas;4;11;Piracicaba; 3.332 ;Até 10.000;1
3531001;Monções;RA de São José do Rio Preto;14;15;São José do Rio Preto; 2.175 ;Até 10.000;1
3531100;Mongaguá;RA de Santos;12;13;Baixada Santista; 54.610 ;De 50.001 a 100.000;3
3531209;Monte Alegre do Sul;RA de Campinas;4;3;Campinas; 7.749 ;Até 10.000;1
3531308;Monte Alto;RA de Ribeirão Preto;11;1;Ribeirão Preto; 48.405 ;De 10.001 a 50.000;2
3531407;Monte Aprazível;RA de São José do Rio Preto;14;15;São José do Rio Preto; 23.458 ;De 10.001 a 50.000;2
3531506;Monte Azul Paulista;RA de Barretos;2;16;Barretos; 18.191 ;De 10.001 a 50.000;2
3531605;Monte Castelo;RA de Presidente Prudente;9;2;Presidente Prudente; 3.991 ;Até 10.000;1
3531704;Monteiro Lobato;RA de São José dos Campos;15;17;Taubaté; 4.465 ;Até 10.000;1
3531803;Monte Mor;RA de Campinas;4;3;Campinas; 59.614 ;De 50.001 a 100.000;3
3531902;Morro Agudo;RA de Franca;6;4;Franca; 32.332 ;De 10.001 a 50.000;2
3532009;Morungaba;RA de Campinas;4;3;Campinas; 13.247 ;De 10.001 a 50.000;2
3532058;Motuca;RA Central;5;8;Araraquara; 4.638 ;Até 10.000;1
3532108;Murutinga do Sul;RA de Araçatuba;1;7;Araçatuba; 4.281 ;Até 10.000;1
3532157;Nantes;RA de Presidente Prudente;9;2;Presidente Prudente; 3.071 ;Até 10.000;1
3532207;Narandiba;RA de Presidente Prudente;9;2;Presidente Prudente; 4.841 ;Até 10.000;1
3532306;Natividade da Serra;RA de São José dos Campos;15;17;Taubaté; 6.698 ;Até 10.000;1
3532405;Nazaré Paulista;RA de Campinas;4;3;Campinas; 18.445 ;De 10.001 a 50.000;2
3532504;Neves Paulista;RA de São José do Rio Preto;14;15;São José do Rio Preto; 8.620 ;Até 10.000;1
3532603;Nhandeara;RA de São José do Rio Preto;14;15;São José do Rio Preto; 10.782 ;De 10.001 a 50.000;2
3532702;Nipoã;RA de São José do Rio Preto;14;15;São José do Rio Preto; 4.969 ;Até 10.000;1
3532801;Nova Aliança;RA de São José do Rio Preto;14;15;São José do Rio Preto; 6.450 ;Até 10.000;1
3532827;Nova Campina;RA de Itapeva;7;6;Sorocaba; 9.675 ;Até 10.000;1
3532843;Nova Canaã Paulista;RA de São José do Rio Preto;14;15;São José do Rio Preto; 1.937 ;Até 10.000;1
3532868;Nova Castilho;RA de Araçatuba;1;7;Araçatuba; 1.176 ;Até 10.000;1
3532900;Nova Europa;RA Central;5;8;Araraquara; 10.749 ;De 10.001 a 50.000;2
3533007;Nova Granada;RA de São José do Rio Preto;14;15;São José do Rio Preto; 20.918 ;De 10.001 a 50.000;2
3533106;Nova Guataporanga;RA de Presidente Prudente;9;2;Presidente Prudente; 2.191 ;Até 10.000;1
3533205;Nova Independência;RA de Araçatuba;1;7;Araçatuba; 3.731 ;Até 10.000;1
3533254;Novais;RA de São José do Rio Preto;14;15;São José do Rio Preto; 5.509 ;Até 10.000;1
3533304;Nova Luzitânia;RA de Araçatuba;1;7;Araçatuba; 4.044 ;Até 10.000;1
3533403;Nova Odessa;RA de Campinas;4;3;Campinas; 58.039 ;De 50.001 a 100.000;3
3533502;Novo Horizonte;RA de São José do Rio Preto;14;15;São José do Rio Preto; 38.954 ;De 10.001 a 50.000;2
3533601;Nuporanga;RA de Franca;6;4;Franca; 7.268 ;Até 10.000;1
3533700;Ocauçu;RA de Marília;8;5;Marília; 4.146 ;Até 10.000;1
3533809;Óleo;RA de Marília;8;5;Marília; 2.527 ;Até 10.000;1
3533908;Olímpia;RA de Barretos;2;16;Barretos; 52.516 ;De 50.001 a 100.000;3
3534005;Onda Verde;RA de São José do Rio Preto;14;15;São José do Rio Preto; 4.225 ;Até 10.000;1
3534104;Oriente;RA de Marília;8;5;Marília; 6.265 ;Até 10.000;1
3534203;Orindiúva;RA de São José do Rio Preto;14;15;São José do Rio Preto; 6.866 ;Até 10.000;1
3534302;Orlândia;RA de Franca;6;4;Franca; 42.266 ;De 10.001 a 50.000;2
3534401;Osasco;RM de São Paulo;10;10;Grande São Paulo; 680.964 ;Mais de 500.000;5
3534500;Oscar Bressane;RA de Marília;8;5;Marília; 2.514 ;Até 10.000;1
3534609;Osvaldo Cruz;RA de Presidente Prudente;9;5;Marília; 31.263 ;De 10.001 a 50.000;2
3534708;Ourinhos;RA de Marília;8;5;Marília; 110.489 ;De 100.001 a 500.000;4
3534757;Ouroeste;RA de São José do Rio Preto;14;15;São José do Rio Preto; 9.777 ;Até 10.000;1
3534807;Ouro Verde;RA de Presidente Prudente;9;2;Presidente Prudente; 8.268 ;Até 10.000;1
3534906;Pacaembu;RA de Presidente Prudente;9;5;Marília; 13.056 ;De 10.001 a 50.000;2
3535002;Palestina;RA de São José do Rio Preto;14;15;São José do Rio Preto; 12.160 ;De 10.001 a 50.000;2
3535101;Palmares Paulista;RA de São José do Rio Preto;14;15;São José do Rio Preto; 12.997 ;De 10.001 a 50.000;2
3535200;Palmeira d'Oeste;RA de São José do Rio Preto;14;15;São José do Rio Preto; 9.130 ;Até 10.000;1
3535309;Palmital;RA de Marília;8;5;Marília; 21.599 ;De 10.001 a 50.000;2
3535408;Panorama;RA de Presidente Prudente;9;2;Presidente Prudente; 15.199 ;De 10.001 a 50.000;2
3535507;Paraguaçu Paulista;RA de Marília;8;5;Marília; 44.180 ;De 10.001 a 50.000;2
3535606;Paraibuna;RA de São José dos Campos;15;17;Taubaté; 18.230 ;De 10.001 a 50.000;2
3535705;Paraíso;RA de São José do Rio Preto;14;15;São José do Rio Preto; 6.269 ;Até 10.000;1
3535804;Paranapanema;RA de Itapeva;7;12;Bauru; 19.962 ;De 10.001 a 50.000;2
3535903;Paranapuã;RA de São José do Rio Preto;14;15;São José do Rio Preto; 3.892 ;Até 10.000;1
3536000;Parapuã;RA de Marília;8;5;Marília; 10.507 ;De 10.001 a 50.000;2
3536109;Pardinho;RA de Sorocaba;13;12;Bauru; 6.392 ;Até 10.000;1
3536208;Pariquera-Açu;RA de Registro;16;9;Registro; 19.251 ;De 10.001 a 50.000;2
3536257;Parisi;RA de São José do Rio Preto;14;15;São José do Rio Preto; 2.054 ;Até 10.000;1
3536307;Patrocínio Paulista;RA de Franca;6;4;Franca; 14.463 ;De 10.001 a 50.000;2
3536406;Paulicéia;RA de Presidente Prudente;9;2;Presidente Prudente; 7.146 ;Até 10.000;1
3536505;Paulínia;RA de Campinas;4;3;Campinas; 105.037 ;De 100.001 a 500.000;4
3536570;Paulistânia;RA de Bauru;3;12;Bauru; 1.769 ;Até 10.000;1
3536604;Paulo de Faria;RA de São José do Rio Preto;14;15;São José do Rio Preto; 8.521 ;Até 10.000;1
3536703;Pederneiras;RA de Bauru;3;12;Bauru; 45.570 ;De 10.001 a 50.000;2
3536802;Pedra Bela;RA de Campinas;4;3;Campinas; 5.964 ;Até 10.000;1
3536901;Pedranópolis;RA de São José do Rio Preto;14;15;São José do Rio Preto; 2.422 ;Até 10.000;1
3537008;Pedregulho;RA de Franca;6;4;Franca; 16.279 ;De 10.001 a 50.000;2
3537107;Pedreira;RA de Campinas;4;3;Campinas; 46.548 ;De 10.001 a 50.000;2
3537156;Pedrinhas Paulista;RA de Marília;8;5;Marília; 3.010 ;Até 10.000;1
3537206;Pedro de Toledo;RA de Registro;16;9;Registro; 10.977 ;De 10.001 a 50.000;2
3537305;Penápolis;RA de Araçatuba;1;7;Araçatuba; 60.774 ;De 50.001 a 100.000;3
3537404;Pereira Barreto;RA de Araçatuba;1;7;Araçatuba; 25.391 ;De 10.001 a 50.000;2
3537503;Pereiras;RA de Sorocaba;13;12;Bauru; 8.428 ;Até 10.000;1
3537602;Peruíbe;RA de Santos;12;13;Baixada Santista; 66.201 ;De 50.001 a 100.000;3
3537701;Piacatu;RA de Araçatuba;1;7;Araçatuba; 5.891 ;Até 10.000;1
3537800;Piedade;RA de Sorocaba;13;6;Sorocaba; 53.536 ;De 50.001 a 100.000;3
3537909;Pilar do Sul;RA de Sorocaba;13;6;Sorocaba; 28.221 ;De 10.001 a 50.000;2
3538006;Pindamonhangaba;RA de São José dos Campos;15;17;Taubaté; 163.611 ;De 100.001 a 500.000;4
3538105;Pindorama;RA de São José do Rio Preto;14;15;São José do Rio Preto; 16.255 ;De 10.001 a 50.000;2
3538204;Pinhalzinho;RA de Campinas;4;3;Campinas; 14.755 ;De 10.001 a 50.000;2
3538303;Piquerobi;RA de Presidente Prudente;9;2;Presidente Prudente; 3.535 ;Até 10.000;1
3538501;Piquete;RA de São José dos Campos;15;17;Taubaté; 13.647 ;De 10.001 a 50.000;2
3538600;Piracaia;RA de Campinas;4;3;Campinas; 26.287 ;De 10.001 a 50.000;2
3538709;Piracicaba;RA de Campinas;4;11;Piracicaba; 389.873 ;De 100.001 a 500.000;4
3538808;Piraju;RA de Itapeva;7;12;Bauru; 28.574 ;De 10.001 a 50.000;2
3538907;Pirajuí;RA de Bauru;3;12;Bauru; 23.259 ;De 10.001 a 50.000;2
3539004;Pirangi;RA de Barretos;2;15;São José do Rio Preto; 10.823 ;De 10.001 a 50.000;2
3539103;Pirapora do Bom Jesus;RM de São Paulo;10;10;Grande São Paulo; 18.851 ;De 10.001 a 50.000;2
3539202;Pirapozinho;RA de Presidente Prudente;9;2;Presidente Prudente; 27.213 ;De 10.001 a 50.000;2
3539301;Pirassununga;RA de Campinas;4;11;Piracicaba; 73.706 ;De 50.001 a 100.000;3
3539400;Piratininga;RA de Bauru;3;12;Bauru; 13.213 ;De 10.001 a 50.000;2
3539509;Pitangueiras;RA de Ribeirão Preto;11;1;Ribeirão Preto; 38.584 ;De 10.001 a 50.000;2
3539608;Planalto;RA de São José do Rio Preto;14;15;São José do Rio Preto; 5.167 ;Até 10.000;1
3539707;Platina;RA de Marília;8;5;Marília; 3.501 ;Até 10.000;1
3539806;Poá;RM de São Paulo;10;10;Grande São Paulo; 115.538 ;De 100.001 a 500.000;4
3539905;Poloni;RA de São José do Rio Preto;14;15;São José do Rio Preto; 5.667 ;Até 10.000;1
3540002;Pompéia;RA de Marília;8;5;Marília; 21.282 ;De 10.001 a 50.000;2
3540101;Pongaí;RA de Bauru;3;12;Bauru; 3.351 ;Até 10.000;1
3540200;Pontal;RA de Ribeirão Preto;11;1;Ribeirão Preto; 49.283 ;De 10.001 a 50.000;2
3540259;Pontalinda;RA de São José do Rio Preto;14;15;São José do Rio Preto; 4.487 ;Até 10.000;1
3540309;Pontes Gestal;RA de São José do Rio Preto;14;15;São José do Rio Preto; 2.528 ;Até 10.000;1
3540408;Populina;RA de São José do Rio Preto;14;15;São José do Rio Preto; 3.995 ;Até 10.000;1
3540507;Porangaba;RA de Sorocaba;13;12;Bauru; 9.310 ;Até 10.000;1
3540606;Porto Feliz;RA de Sorocaba;13;6;Sorocaba; 51.697 ;De 50.001 a 100.000;3
3540705;Porto Ferreira;RA Central;5;8;Araraquara; 54.102 ;De 50.001 a 100.000;3
3540754;Potim;RA de São José dos Campos;15;17;Taubaté; 20.702 ;De 10.001 a 50.000;2
3540804;Potirendaba;RA de São José do Rio Preto;14;15;São José do Rio Preto; 16.605 ;De 10.001 a 50.000;2
3540853;Pracinha;RA de Presidente Prudente;9;5;Marília; 2.913 ;Até 10.000;1
3540903;Pradópolis;RA de Ribeirão Preto;11;1;Ribeirão Preto; 20.907 ;De 10.001 a 50.000;2
3541000;Praia Grande;RA de Santos;12;13;Baixada Santista; 316.844 ;De 100.001 a 500.000;4
3541059;Pratânia;RA de Sorocaba;13;12;Bauru; 5.156 ;Até 10.000;1
3541109;Presidente Alves;RA de Bauru;3;12;Bauru; 4.020 ;Até 10.000;1
3541208;Presidente Bernardes;RA de Presidente Prudente;9;2;Presidente Prudente; 13.720 ;De 10.001 a 50.000;2
3541307;Presidente Epitácio;RA de Presidente Prudente;9;2;Presidente Prudente; 42.400 ;De 10.001 a 50.000;2
3541406;Presidente Prudente;RA de Presidente Prudente;9;2;Presidente Prudente; 221.073 ;De 100.001 a 500.000;4
3541505;Presidente Venceslau;RA de Presidente Prudente;9;2;Presidente Prudente; 38.005 ;De 10.001 a 50.000;2
3541604;Promissão;RA de Bauru;3;12;Bauru; 39.667 ;De 10.001 a 50.000;2
3541653;Quadra;RA de Sorocaba;13;6;Sorocaba; 3.708 ;Até 10.000;1
3541703;Quatá;RA de Marília;8;2;Presidente Prudente; 13.935 ;De 10.001 a 50.000;2
3541802;Queiroz;RA de Marília;8;5;Marília; 3.279 ;Até 10.000;1
3541901;Queluz;RA de São José dos Campos;15;17;Taubaté; 12.644 ;De 10.001 a 50.000;2
3542008;Quintana;RA de Marília;8;5;Marília; 6.500 ;Até 10.000;1
3542107;Rafard;RA de Campinas;4;11;Piracicaba; 8.976 ;Até 10.000;1
3542206;Rancharia;RA de Presidente Prudente;9;2;Presidente Prudente; 28.847 ;De 10.001 a 50.000;2
3542305;Redenção da Serra;RA de São José dos Campos;15;17;Taubaté; 3.837 ;Até 10.000;1
3542404;Regente Feijó;RA de Presidente Prudente;9;2;Presidente Prudente; 19.491 ;De 10.001 a 50.000;2
3542503;Reginópolis;RA de Bauru;3;12;Bauru; 7.215 ;Até 10.000;1
3542602;Registro;RA de Registro;16;9;Registro; 54.216 ;De 50.001 a 100.000;3
3542701;Restinga;RA de Franca;6;4;Franca; 7.493 ;Até 10.000;1
3542800;Ribeira;RA de Itapeva;7;6;Sorocaba; 3.242 ;Até 10.000;1
3542909;Ribeirão Bonito;RA Central;5;8;Araraquara; 12.959 ;De 10.001 a 50.000;2
3543006;Ribeirão Branco;RA de Itapeva;7;6;Sorocaba; 17.685 ;De 10.001 a 50.000;2
3543105;Ribeirão Corrente;RA de Franca;6;4;Franca; 4.664 ;Até 10.000;1
3543204;Ribeirão do Sul;RA de Marília;8;5;Marília; 4.360 ;Até 10.000;1
3543238;Ribeirão dos Índios;RA de Presidente Prudente;9;2;Presidente Prudente; 2.141 ;Até 10.000;1
3543253;Ribeirão Grande;RA de Itapeva;7;6;Sorocaba; 7.510 ;Até 10.000;1
3543303;Ribeirão Pires;RM de São Paulo;10;10;Grande São Paulo; 118.968 ;De 100.001 a 500.000;4
3543402;Ribeirão Preto;RA de Ribeirão Preto;11;1;Ribeirão Preto; 683.777 ;Mais de 500.000;5
3543501;Riversul;RA de Itapeva;7;6;Sorocaba; 5.705 ;Até 10.000;1
3543600;Rifaina;RA de Franca;6;4;Franca; 3.468 ;Até 10.000;1
3543709;Rincão;RA Central;5;8;Araraquara; 10.496 ;De 10.001 a 50.000;2
3543808;Rinópolis;RA de Marília;8;5;Marília; 9.720 ;Até 10.000;1
3543907;Rio Claro;RA de Campinas;4;11;Piracicaba; 201.212 ;De 100.001 a 500.000;4
3544004;Rio das Pedras;RA de Campinas;4;11;Piracicaba; 34.416 ;De 10.001 a 50.000;2
3544103;Rio Grande da Serra;RM de São Paulo;10;10;Grande São Paulo; 49.816 ;De 10.001 a 50.000;2
3544202;Riolândia;RA de São José do Rio Preto;14;15;São José do Rio Preto; 11.431 ;De 10.001 a 50.000;2
3544251;Rosana;RA de Presidente Prudente;9;2;Presidente Prudente; 18.387 ;De 10.001 a 50.000;2
3544301;Roseira;RA de São José dos Campos;15;17;Taubaté; 10.642 ;De 10.001 a 50.000;2
3544400;Rubiácea;RA de Araçatuba;1;7;Araçatuba; 3.106 ;Até 10.000;1
3544509;Rubinéia;RA de São José do Rio Preto;14;15;São José do Rio Preto; 2.989 ;Até 10.000;1
3544608;Sabino;RA de Bauru;3;12;Bauru; 5.468 ;Até 10.000;1
3544707;Sagres;RA de Presidente Prudente;9;5;Marília; 2.362 ;Até 10.000;1
3544806;Sales;RA de São José do Rio Preto;14;15;São José do Rio Preto; 6.050 ;Até 10.000;1
3544905;Sales Oliveira;RA de Franca;6;4;Franca; 11.518 ;De 10.001 a 50.000;2
3545001;Salesópolis;RM de São Paulo;10;10;Grande São Paulo; 16.838 ;De 10.001 a 50.000;2
3545100;Salmourão;RA de Presidente Prudente;9;5;Marília; 5.117 ;Até 10.000;1
3545159;Saltinho;RA de Campinas;4;11;Piracicaba; 7.860 ;Até 10.000;1
3545209;Salto;RA de Sorocaba;13;6;Sorocaba; 115.372 ;De 100.001 a 500.000;4
3545308;Salto de Pirapora;RA de Sorocaba;13;6;Sorocaba; 44.223 ;De 10.001 a 50.000;2
3545407;Salto Grande;RA de Marília;8;5;Marília; 9.095 ;Até 10.000;1
3545506;Sandovalina;RA de Presidente Prudente;9;2;Presidente Prudente; 4.211 ;Até 10.000;1
3545605;Santa Adélia;RA de São José do Rio Preto;14;15;São José do Rio Preto; 14.892 ;De 10.001 a 50.000;2
3545704;Santa Albertina;RA de São José do Rio Preto;14;15;São José do Rio Preto; 5.672 ;Até 10.000;1
3545803;Santa Bárbara d'Oeste;RA de Campinas;4;3;Campinas; 188.745 ;De 100.001 a 500.000;4
3546009;Santa Branca;RA de São José dos Campos;15;17;Taubaté; 14.179 ;De 10.001 a 50.000;2
3546108;Santa Clara d'Oeste;RA de São José do Rio Preto;14;15;São José do Rio Preto; 2.006 ;Até 10.000;1
3546207;Santa Cruz da Conceição;RA de Campinas;4;11;Piracicaba; 4.349 ;Até 10.000;1
3546256;Santa Cruz da Esperança;RA de Ribeirão Preto;11;1;Ribeirão Preto; 2.077 ;Até 10.000;1
3546306;Santa Cruz das Palmeiras;RA de Campinas;4;14;São João da Boa Vista; 33.729 ;De 10.001 a 50.000;2
3546405;Santa Cruz do Rio Pardo;RA de Marília;8;5;Marília; 46.110 ;De 10.001 a 50.000;2
3546504;Santa Ernestina;RA Central;5;8;Araraquara; 5.525 ;Até 10.000;1
3546603;Santa Fé do Sul;RA de São José do Rio Preto;14;15;São José do Rio Preto; 30.804 ;De 10.001 a 50.000;2
3546702;Santa Gertrudes;RA de Campinas;4;11;Piracicaba; 26.189 ;De 10.001 a 50.000;2
3546801;Santa Isabel;RM de São Paulo;10;10;Grande São Paulo; 55.086 ;De 50.001 a 100.000;3
3546900;Santa Lúcia;RA Central;5;8;Araraquara; 8.562 ;Até 10.000;1
3547007;Santa Maria da Serra;RA de Campinas;4;11;Piracicaba; 6.141 ;Até 10.000;1
3547106;Santa Mercedes;RA de Presidente Prudente;9;2;Presidente Prudente; 2.813 ;Até 10.000;1
3547205;Santana da Ponte Pensa;RA de São José do Rio Preto;14;15;São José do Rio Preto; 1.509 ;Até 10.000;1
3547304;Santana de Parnaíba;RM de São Paulo;10;10;Grande São Paulo; 138.132 ;De 100.001 a 500.000;4
3547403;Santa Rita d'Oeste;RA de São José do Rio Preto;14;15;São José do Rio Preto; 2.404 ;Até 10.000;1
3547502;Santa Rita do Passa Quatro;RA Central;5;1;Ribeirão Preto; 26.385 ;De 10.001 a 50.000;2
3547601;Santa Rosa de Viterbo;RA de Ribeirão Preto;11;1;Ribeirão Preto; 25.604 ;De 10.001 a 50.000;2
3547650;Santa Salete;RA de São José do Rio Preto;14;15;São José do Rio Preto; 1.440 ;Até 10.000;1
3547700;Santo Anastácio;RA de Presidente Prudente;9;2;Presidente Prudente; 20.127 ;De 10.001 a 50.000;2
3547809;Santo André;RM de São Paulo;10;10;Grande São Paulo; 693.867 ;Mais de 500.000;5
3547908;Santo Antônio da Alegria;RA de Ribeirão Preto;11;1;Ribeirão Preto; 6.637 ;Até 10.000;1
3548005;Santo Antônio de Posse;RA de Campinas;4;3;Campinas; 22.849 ;De 10.001 a 50.000;2
3548054;Santo Antônio do Aracanguá;RA de Araçatuba;1;7;Araçatuba; 8.252 ;Até 10.000;1
3548104;Santo Antônio do Jardim;RA de Campinas;4;14;São João da Boa Vista; 5.826 ;Até 10.000;1
3548203;Santo Antônio do Pinhal;RA de São José dos Campos;15;17;Taubaté; 6.628 ;Até 10.000;1
3548302;Santo Expedito;RA de Presidente Prudente;9;2;Presidente Prudente; 2.972 ;Até 10.000;1
3548401;Santópolis do Aguapeí;RA de Araçatuba;1;7;Araçatuba; 4.668 ;Até 10.000;1
3548500;Santos;RA de Santos;12;13;Baixada Santista; 428.703 ;De 100.001 a 500.000;4
3548609;São Bento do Sapucaí;RA de São José dos Campos;15;17;Taubaté; 10.530 ;De 10.001 a 50.000;2
3548708;São Bernardo do Campo;RM de São Paulo;10;10;Grande São Paulo; 812.086 ;Mais de 500.000;5
3548807;São Caetano do Sul;RM de São Paulo;10;10;Grande São Paulo; 151.244 ;De 100.001 a 500.000;4
3548906;São Carlos;RA Central;5;8;Araraquara; 242.632 ;De 100.001 a 500.000;4
3549003;São Francisco;RA de São José do Rio Preto;14;15;São José do Rio Preto; 2.677 ;Até 10.000;1
3549102;São João da Boa Vista;RA de Campinas;4;14;São João da Boa Vista; 87.340 ;De 50.001 a 100.000;3
