nome_munic;codigo_ibge;datahora;casos;obitos
Paulínia;3536505;2020-05-01;   19;   1
Paulistânia;3536570;2020-05-01;    2;   0
Pederneiras;3536703;2020-05-01;    2;   1
Pedra Bela;3536802;2020-05-01;    1;   0
Pedrinhas Paulista;3537156;2020-05-01;    2;   1
Pedro de Toledo;3537206;2020-05-01;    2;   0
Penápolis;3537305;2020-05-01;    2;   1
Peruíbe;3537602;2020-05-01;   22;   1
Piedade;3537800;2020-05-01;   10;   0
Pilar do Sul;3537909;2020-05-01;    4;   0
Pindamonhangaba;3538006;2020-05-01;   11;   1
Pindorama;3538105;2020-05-01;    6;   0
Pinhalzinho;3538204;2020-05-01;    1;   0
Piquerobi;3538303;2020-05-01;    2;   0
Piracaia;3538600;2020-05-01;    4;   1
Piracicaba;3538709;2020-05-01;   90;   9
Piraju;3538808;2020-05-01;   11;   0
Pirajuí;3538907;2020-05-01;    1;   0
Pirapora do Bom Jesus;3539103;2020-05-01;   16;   0
Pirassununga;3539301;2020-05-01;   13;   0
Piratininga;3539400;2020-05-01;    5;   0
Pitangueiras;3539509;2020-05-01;    1;   1
Poá;3539806;2020-05-01;   62;   7
Pontal;3540200;2020-05-01;    4;   1
Populina;3540408;2020-05-01;    3;   0
Porto Feliz;3540606;2020-05-01;    7;   0
Porto Ferreira;3540705;2020-05-01;    3;   1
Pradópolis;3540903;2020-05-01;    1;   0
Praia Grande;3541000;2020-05-01;  137;  27
Pratânia;3541059;2020-05-01;    2;   0
Presidente Alves;3541109;2020-05-01;    1;   0
Presidente Epitácio;3541307;2020-05-01;    1;   0
Presidente Prudente;3541406;2020-05-01;   25;   2
Presidente Venceslau;3541505;2020-05-01;   11;   6
Promissão;3541604;2020-05-01;    4;   0
Quatá;3541703;2020-05-01;    3;   0
Quintana;3542008;2020-05-01;    2;   0
Rancharia;3542206;2020-05-01;    3;   1
Regente Feijó;3542404;2020-05-01;    1;   0
Registro;3542602;2020-05-01;   11;   3
Ribeirão Branco;3543006;2020-05-01;    1;   0
Ribeirão Pires;3543303;2020-05-01;   72;   5
Ribeirão Preto;3543402;2020-05-01;  118;   8
Rincão;3543709;2020-05-01;    1;   1
Rinópolis;3543808;2020-05-01;    2;   0
Rio Claro;3543907;2020-05-01;   18;   8
Rio das Pedras;3544004;2020-05-01;    1;   0
Rio Grande da Serra;3544103;2020-05-01;   23;   0
Salesópolis;3545001;2020-05-01;    2;   1
Saltinho;3545159;2020-05-01;    1;   0
Salto;3545209;2020-05-01;   10;   0
Salto de Pirapora;3545308;2020-05-01;    7;   0
Salto Grande;3545407;2020-05-01;    1;   0
Santa Bárbara d'Oeste;3545803;2020-05-01;    6;   1
Santa Branca;3546009;2020-05-01;    2;   1
Santa Cruz da Conceição;3546207;2020-05-01;    1;   0
Santa Cruz do Rio Pardo;3546405;2020-05-01;   17;   0
Santa Fé do Sul;3546603;2020-05-01;    4;   0
Santa Gertrudes;3546702;2020-05-01;    1;   0
Santa Isabel;3546801;2020-05-01;   14;   5
Santa Lúcia;3546900;2020-05-01;    4;   0
Santa Maria da Serra;3547007;2020-05-01;    1;   0
Santana de Parnaíba;3547304;2020-05-01;  141;   3
Santa Rita do Passa Quatro;3547502;2020-05-01;    1;   1
Santo André;3547809;2020-05-01;  565;  34
Santo Antônio da Alegria;3547908;2020-05-01;    1;   1
Santo Antônio de Posse;3548005;2020-05-01;    1;   0
Santo Antônio do Aracanguá;3548054;2020-05-01;    2;   0
Santo Antônio do Pinhal;3548203;2020-05-01;    2;   0
Santos;3548500;2020-05-01;  600;  47
São Bernardo do Campo;3548708;2020-05-01;  705;  45
São Caetano do Sul;3548807;2020-05-01;  227;  13
São Carlos;3548906;2020-05-01;   14;   3
São João da Boa Vista;3549102;2020-05-01;   18;   0
São Joaquim da Barra;3549409;2020-05-01;    3;   0
São José do Rio Pardo;3549706;2020-05-01;    4;   0
São José do Rio Preto;3549805;2020-05-01;   92;   8
São José dos Campos;3549904;2020-05-01;  224;  11
São Lourenço da Serra;3549953;2020-05-01;    6;   1
São Manuel;3550100;2020-05-01;    9;   1
São Miguel Arcanjo;3550209;2020-05-01;    9;   0
São Paulo;3550308;2020-05-01;19087;1607
São Pedro;3550407;2020-05-01;   24;   0
São Roque;3550605;2020-05-01;   23;   1
São Sebastião;3550704;2020-05-01;   42;   2
São Sebastião da Grama;3550803;2020-05-01;    1;   0
São Vicente;3551009;2020-05-01;  180;   4
Sarapuí;3551108;2020-05-01;    1;   0
Serrana;3551504;2020-05-01;    8;   2
Serra Negra;3551603;2020-05-01;    1;   0
Sertãozinho;3551702;2020-05-01;   13;   2
Socorro;3552106;2020-05-01;    2;   0
Sorocaba;3552205;2020-05-01;  128;  21
Sumaré;3552403;2020-05-01;   30;   2
Suzano;3552502;2020-05-01;  179;  15
Taboão da Serra;3552809;2020-05-01;  206;  16
Taiaçu;3553104;2020-05-01;    3;   0
Tanabi;3553401;2020-05-01;    1;   0
Taquaritinga;3553708;2020-05-01;    1;   0
Taquarituba;3553807;2020-05-01;    1;   0
Tarabai;3553906;2020-05-01;    2;   0
Tatuí;3554003;2020-05-01;   17;   1
