Ano;Trimestre;Data do Anúncio;Empresa alvo do investimento;Empresa(s) investidora(s);Real (em milhões);Dólar (em milhões);Valor Informado;Município;Região;Descrição do investimento;CNAE Empresa alvo do investimento;CNAE Empresa(s) investidora(s);Tipo Investimento;Período
"2020";"1";"05/03/2020";"Concessionária Auto Raposo Tavares - Cart";"Concessionária Auto Raposo Tavares - Cart";"...";"...";"Não";"Regente Feijó";"RA Presidente Prudente";"Implantação passarela para travessia de pedestres no km 558";"5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados";"5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados";"Ampliação";"2020 - 2020"
"2020";"1";"01/02/2020";"Liza Silone";"Elizabeth Cristina Silone Santos";"0,05";"0,01";"Sim";"Cubatão";"RA Santos";"Inauguração novo espaço de serviço de design de sobrancelhas e limpeza de pele";"9602-5 - Cabeleireiros e outras atividades de tratamento de beleza";"9602-5 - Cabeleireiros e outras atividades de tratamento de beleza";"Implantação";"2019 - 2020"
"2020";"1";"15/01/2020";"Villamar Shopping";"Grupo Mendes Empreendimentos";"...";"...";"Não";"Praia Grande";"RA Santos";"Construção Shopping Center que abrigará cerca de 300 lojas";"6822-6 - Gestão e administração da propriedade imobiliária";"6822-6 - Gestão e administração da propriedade imobiliária";"Implantação";"2020 - 2022"
"2020";"1";"16/01/2020";"Casa de Saúde Praia Grande";"Casa de Saúde Santos";"...";"...";"Não";"Praia Grande";"RA Santos";"Abertura hospital trata-se de hospital com pronto socorro para atendimento na Praia Grande.";"8610-1 - Atividades de atendimento hospitalar";"8610-1 - Atividades de atendimento hospitalar";"Implantação";"2020 - 2020"
"2020";"1";"09/01/2020";"Santa Casa de Santos";"Irmandade da Santa Casa de Misericórdia de Santos";"...";"...";"Não";"Santos";"RA Santos";"Inauguração Pronto Socorro da Santa Casa de Misericórdia de Santos";"8610-1 - Atividades de atendimento hospitalar";"8610-1 - Atividades de atendimento hospitalar";"Ampliação";"2019 - 2020"
"2020";"1";"24/01/2020";"Orla da Prata";"Milena Esposito Sarno Martins";"0,01";"0,00";"Sim";"Santos";"RA Santos";"Abertura loja de jóias de prata";"4783-1 - Comércio varejista de joias e relógios";"7319-0 - Atividades de publicidade não especificadas anteriormente";"Implantação";"2019 - 2019"
"2020";"1";"02/02/2020";"Santista Class Optica";"Santista Class Óptica";"...";"...";"Não";"Santos";"RA Santos";"Desenvolvimento plataforma de e-commerce e oferta de produtos exclusivos";"4774-1 - Comércio varejista de artigos de óptica";"4774-1 - Comércio varejista de artigos de óptica";"Implantação";"2019 - ..."
"2020";"1";"03/02/2020";"Terminal de Passageiros Giusfredo Santini";"Concais";"190,00";"43,77";"Sim";"Santos";"RA Santos";"Ampliação e modernização terminal de passageiros para melhorar a logística e agilizar o embarque";"5231-1 - Gestão de portos e terminais";"5231-1 - Gestão de portos e terminais";"Ampliação";"2020 - 2040"
"2020";"1";"12/02/2020";"Wilson Sons Logística";"Wilson Sons Logística";"...";"...";"Não";"Santos";"RA Santos";"Implantação sistema(s) com Inteligência Artificial na gestão de sua frota no Porto de Santos";"5030-1 - Navegação de apoio marítimo";"5250-8 - Atividades relacionadas à organização do transporte de carga";"Ampliação";"2018 - 2020"
"2020";"1";"21/01/2020";"Leroy Merlin";"Leroy Merlin Companhia Brasileira de Bricolagem";"...";"...";"Não";"São Vicente";"RA Santos";"Inauguração loja de materiais de construção e bricolagem dentro de um Shopping da cidade de São Vicente.";"4744-0 - Comércio varejista de ferragens, madeira e materiais de construção";"4744-0 - Comércio varejista de ferragens, madeira e materiais de construção";"Implantação";"2020 - 2020"
"2020";"1";"04/02/2020";"GasBrasiliano";"Gas Brasiliano Distribuidora";"40,00";"9,22";"Sim";"Catanduva";"RA São José do Rio Preto";"Inauguração rede de distribuição de gás natural canalizado";"3520-4 - Produção de gás; processamento de gás natural; distribuição de combustíveis gasosos por redes urbanas";"3520-4 - Produção de gás; processamento de gás natural; distribuição de combustíveis gasosos por redes urbanas";"Ampliação";"2018 - 2020"
